n_estimators,learning_rate,num_leaves,min_child_samples,Valid_RMSE
250,0.03,15,20,3640.6918105209347
350,0.03,31,20,4123.471069640638
250,0.05,15,30,3775.5888391297162
350,0.05,31,30,3719.8235739155093
