n_estimators,learning_rate,num_leaves,min_child_samples,Valid_RMSE
250,0.03,15,20,1566.8830887293839
350,0.03,31,20,1361.7577025653795
250,0.05,15,30,1908.3412899463085
350,0.05,31,30,2282.983647692346
