n_estimators,learning_rate,num_leaves,min_child_samples,Valid_RMSE
250,0.03,15,20,3634.414966787355
350,0.03,31,20,3356.9951291470525
250,0.05,15,30,3097.701374987182
350,0.05,31,30,2940.0268122247853
