n_estimators,learning_rate,num_leaves,min_child_samples,Valid_RMSE
250,0.03,15,20,1472.9175289721763
350,0.03,31,20,1333.849905884812
250,0.05,15,30,1908.3400812361178
350,0.05,31,30,2307.1712215485304
